additions,additions_avg,additions_max,avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn_avg,code_churn_count,code_churn_max,commit,commits_count,committed_at,contributors_count,deletions,deletions_avg,deletions_max,failure_prone,filepath,highest_contributor_experience,hunks_median,lines_blank,lines_code,lines_comment,minor_contributors_count,num_authorized_key,num_block_error_handling,num_blocks,num_commands,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_file_exists,num_file_mode,num_file_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_parameters,num_paths,num_plays,num_prompts,num_regex,num_roles,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_uri,num_vars,text_entropy,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_authorized_key,delta_num_block_error_handling,delta_num_blocks,delta_num_commands,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_file_exists,delta_num_file_mode,delta_num_file_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_parameters,delta_num_paths,delta_num_plays,delta_num_prompts,delta_num_regex,delta_num_roles,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_uri,delta_num_vars,delta_text_entropy,repository
0,0,0,0,9,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,0,2018-02-19 17:46:56+01:00,0,0,0,0,0,playbooks/inventory.yml,0,0,1,18,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,2,34,2,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
21,10,19,7,2,6,20,2,4,3,69d06b52cd0852ed6f964acd63893630eb52bdcf,2,2018-02-19 17:46:56+01:00,1,17,8,16,0,playbooks/zabbix-agent.yml,100,4,7,33,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,5,0,0,1,0,4,105,5,0,0,5.64,-1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,-1,0,5,0,0,-5,-0.09,AlbanAndrieu/ansible-nabla
0,0,0,10,2,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,0,2018-02-19 17:46:56+01:00,0,0,0,0,1,playbooks/dns.yml,0,0,6,38,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,4,0,0,1,0,4,110,4,0,3,6.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
0,0,0,8,3,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,0,2018-02-19 17:46:56+01:00,0,0,0,0,1,playbooks/lamp.yml,0,0,14,47,48,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,6,0,0,4,0,3,129,6,0,9,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
0,0,0,7,0,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,0,2018-02-19 17:46:56+01:00,0,0,0,0,0,playbooks/security.yml,0,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,15,1,0,0,3.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
75,38,72,16,4,6,20,6,11,11,69d06b52cd0852ed6f964acd63893630eb52bdcf,2,2018-02-19 17:46:56+01:00,1,64,32,61,0,playbooks/docker-container.yml,100,8,27,92,85,0,0,0,0,3,0,0,0,0,17,1,0,0,0,0,0,2,1,0,0,0,0,0,0,85,0,0,0,0,19,2,6,0,0,0,1,18,285,17,0,2,7.02,-4,-1,1,-25,33,0,0,0,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,-5,0,0,0,0,0,0,0,0,0,0,-2,-44,0,0,-2,0.11,AlbanAndrieu/ansible-nabla
0,0,0,4,0,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,0,2018-02-19 17:46:56+01:00,0,0,0,0,0,playbooks/jdiskreport.yml,0,0,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,8,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
0,0,0,5,2,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,0,2018-02-19 17:46:56+01:00,0,0,0,0,0,playbooks/squirrel.yml,0,0,4,23,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4,0,0,1,0,3,68,4,0,0,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
0,0,0,6,2,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,0,2018-02-19 17:46:56+01:00,0,0,0,0,0,playbooks/conky.yml,0,0,6,26,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,4,0,0,1,0,4,84,4,0,2,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
3,1,1,6,3,6,20,-34,-103,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,3,2018-02-19 17:46:56+01:00,1,106,35,90,0,playbooks/albandri.yml,100,1,122,271,204,0,0,0,0,1,2,0,0,0,6,0,0,0,0,0,0,1,16,0,0,3,0,0,0,246,0,0,0,0,1,0,47,0,0,23,1,6,618,30,0,60,7.17,0,0,0,2,-98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,-3,0,4,0,0,0,0.01,AlbanAndrieu/ansible-nabla
0,0,0,7,0,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,0,2018-02-19 17:46:56+01:00,0,0,0,0,0,playbooks/evasive.yml,0,0,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,13,1,0,1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
2,2,2,8,0,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,1,2018-02-19 17:46:56+01:00,1,2,2,2,0,playbooks/yourkit.yml,100,1,6,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,2,0,0,34,2,0,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
0,0,0,11,0,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,0,2018-02-19 17:46:56+01:00,0,0,0,0,0,playbooks/jmeter.yml,0,0,2,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,1,0,0,21,1,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
0,0,0,7,0,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,0,2018-02-19 17:46:56+01:00,0,0,0,0,0,playbooks/owasp-wte.yml,0,0,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,14,1,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
0,0,0,7,0,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,0,2018-02-19 17:46:56+01:00,0,0,0,0,0,playbooks/java.yml,0,0,4,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,14,1,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
0,0,0,6,3,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,0,2018-02-19 17:46:56+01:00,0,0,0,0,1,playbooks/solaris.yml,0,0,7,23,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,4,0,0,1,0,3,76,4,0,0,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
0,0,0,6,3,6,20,0,0,0,69d06b52cd0852ed6f964acd63893630eb52bdcf,0,2018-02-19 17:46:56+01:00,0,0,0,0,0,playbooks/virtualbox.yml,0,0,6,26,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,4,0,0,1,0,3,79,4,0,2,5.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlbanAndrieu/ansible-nabla
